tool	instance	measure	value	seconds	status
ndk	c_grid2d_10	hw_detk_k2	no	0.13	[exit 0]
ndk	c_grid2d_10	hw_detk_k3	no	38.99	[exit 0]
ndk	c_grid2d_10	hw_detk_k4	yes	0.01	[exit 0]
ndk	c_grid2d_10	ghw_balsep_k1	no	0.01	[exit 0]
ndk	c_grid2d_10	ghw_balsep_k2	no	0.10	[exit 0]
ndk	c_grid2d_10	ghw_balsep_k3	no	2.96	[exit 0]
ndk	c_grid2d_10	ghw_balsep_k4	timeout	240.01	[exit 124]
ndk	c_grid2d_10	ghw_balsep_k5	timeout	240.01	[exit 124]
ndk	c_grid2d_10	stats	?	0.08	[exit 0]
detk1	c_grid2d_10	hw_k3	no	9.38	[exit 0]
htd	c_grid2d_10	tw	13	0.01	[exit 0]
htd	c_grid2d_10	ghw_ub	6	0.01	[exit 0]
htdleo	c_grid2d_10	hw	4	29.20	[exit 0]
htdleo	c_grid2d_10	ghw	4	40.47	[exit 0]
htdsmt	c_grid2d_10	hw	4	29.64	[exit 0]
frasmt	c_grid2d_10	fhw	1	0.30	[exit 0]
frasmt	c_grid2d_10_neutral	fhw	4.0	52.58	[exit 0]
